time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965302,324900,502751,11,75600,71,13,1,1980-01-06T03:08:22,1633357543.996816,2021-10-04T17:25:43
315965315,524900,515951,10,75600,227,13,1,1980-01-06T03:08:35,1633357557.048204,2021-10-04T17:25:57
315965341,925000,542351,15,75600,35,13,1,1980-01-06T03:09:01,1633357585.8065279,2021-10-04T17:26:25
315965356,325000,556751,16,75600,200,13,1,1980-01-06T03:09:16,1633357598.886509,2021-10-04T17:26:38
315965369,525000,569951,16,75600,100,13,1,1980-01-06T03:09:29,1633357612.546881,2021-10-04T17:26:52
315965382,724900,583151,15,75600,9,13,1,1980-01-06T03:09:42,1633357625.5767279,2021-10-04T17:27:05
315965398,325000,598751,15,75600,187,13,1,1980-01-06T03:09:58,1633357641.3269448,2021-10-04T17:27:21
315965411,793100,611951,17,75600,86,13,1,1980-01-06T03:10:11,1633357654.4067729,2021-10-04T17:27:34
315965424,993100,625151,17,75600,251,13,1,1980-01-06T03:10:24,1633357668.026929,2021-10-04T17:27:48
315965439,393200,639551,19,75600,162,13,1,1980-01-06T03:10:39,1633357681.0367608,2021-10-04T17:28:01
315965453,793200,653951,23,75600,73,13,1,1980-01-06T03:10:53,1633357694.6167848,2021-10-04T17:28:14
315965466,993100,667151,27,75600,226,13,1,1980-01-06T03:11:06,1633357709.736764,2021-10-04T17:28:29
315965478,993100,679151,28,75600,124,13,1,1980-01-06T03:11:18,1633357722.7680478,2021-10-04T17:28:42
315965494,593100,694751,29,75600,46,13,1,1980-01-06T03:11:34,1633357736.36702,2021-10-04T17:28:56
315965508,993100,709151,26,75600,213,13,1,1980-01-06T03:11:48,1633357750.048624,2021-10-04T17:29:10
315965520,993100,721151,23,75600,110,13,1,1980-01-06T03:12:00,1633357763.1071649,2021-10-04T17:29:23
315965535,393100,735551,19,75600,21,13,1,1980-01-06T03:12:15,1633357778.8874118,2021-10-04T17:29:38
315965549,793100,749951,20,75600,188,13,1,1980-01-06T03:12:29,1633357791.956868,2021-10-04T17:29:51
315965562,993100,763151,19,75600,85,13,1,1980-01-06T03:12:42,1633357805.658529,2021-10-04T17:30:05
315965577,393100,777551,21,75600,7,13,1,1980-01-06T03:12:57,1633357819.359652,2021-10-04T17:30:19
315965591,793100,791951,27,75600,174,13,1,1980-01-06T03:13:11,1633357834.667093,2021-10-04T17:30:34
315965605,120200,805151,27,75600,72,13,1,1980-01-06T03:13:25,1633357847.7872288,2021-10-04T17:30:47
315965619,520200,819551,28,75600,250,13,1,1980-01-06T03:13:39,1633357861.3972769,2021-10-04T17:31:01
315965632,720200,832751,26,75600,147,13,1,1980-01-06T03:13:52,1633357874.4776008,2021-10-04T17:31:14
315965645,920200,845951,30,75600,47,13,1,1980-01-06T03:14:05,1633357887.487196,2021-10-04T17:31:27
315965673,520200,873551,25,75600,123,13,1,1980-01-06T03:14:33,1633357916.338405,2021-10-04T17:31:56
315965686,720200,886751,24,75600,20,13,1,1980-01-06T03:14:46,1633357929.956929,2021-10-04T17:32:09
315965701,120200,901151,33,75600,198,13,1,1980-01-06T03:15:01,1633357942.9973009,2021-10-04T17:32:22
315965714,320200,914351,38,75600,98,13,1,1980-01-06T03:15:14,1633357956.676957,2021-10-04T17:32:36
315965728,720200,928751,37,75600,7,13,1,1980-01-06T03:15:28,1633357971.9277198,2021-10-04T17:32:51
315965743,120200,943151,37,75600,173,13,1,1980-01-06T03:15:43,1633357985.0281649,2021-10-04T17:33:05
315965756,320200,956351,39,75600,84,13,1,1980-01-06T03:15:56,1633357998.717208,2021-10-04T17:33:18
315965769,520200,969551,39,75600,238,13,1,1980-01-06T03:16:09,1633358012.4076278,2021-10-04T17:33:32
315965783,920200,983951,37,75600,149,13,1,1980-01-06T03:16:23,1633358025.3767478,2021-10-04T17:33:45
315965798,320200,998351,42,75600,71,13,1,1980-01-06T03:16:38,1633358041.057164,2021-10-04T17:34:01
315965811,520200,1011551,42,75600,224,13,1,1980-01-06T03:16:51,1633358054.2068238,2021-10-04T17:34:14
315965825,920200,1025951,54,75600,135,13,1,1980-01-06T03:17:05,1633358067.3289769,2021-10-04T17:34:27
315965839,120300,1039151,56,75600,44,13,1,1980-01-06T03:17:19,1633358081.036829,2021-10-04T17:34:41
315965853,520300,1053551,58,75600,211,13,1,1980-01-06T03:17:33,1633358096.797669,2021-10-04T17:34:56
315965866,720300,1066751,54,75600,108,13,1,1980-01-06T03:17:46,1633358109.8770769,2021-10-04T17:35:09
315965881,120300,1081151,60,75600,19,13,1,1980-01-06T03:18:01,1633358125.436729,2021-10-04T17:35:25
315965896,720200,1096751,61,75600,208,13,1,1980-01-06T03:18:16,1633358138.636972,2021-10-04T17:35:38
315965911,391500,1111151,56,75600,119,13,1,1980-01-06T03:18:31,1633358152.380317,2021-10-04T17:35:52
315965924,591500,1124351,68,75600,30,13,1,1980-01-06T03:18:44,1633358167.6770358,2021-10-04T17:36:07
315965938,991600,1138751,67,75600,195,13,1,1980-01-06T03:18:58,1633358183.34656,2021-10-04T17:36:23
315965954,591500,1154351,70,75600,130,13,1,1980-01-06T03:19:14,1633358196.5264878,2021-10-04T17:36:36
315965968,991500,1168751,71,75600,39,13,1,1980-01-06T03:19:28,1633358210.2065809,2021-10-04T17:36:50
315965982,191500,1181951,71,75600,194,13,1,1980-01-06T03:19:42,1633358223.3167288,2021-10-04T17:37:03
315965998,991500,1198751,69,75600,139,13,1,1980-01-06T03:19:58,1633358241.0266528,2021-10-04T17:37:21
315966012,191500,1211951,82,75600,38,13,1,1980-01-06T03:20:12,1633358254.206709,2021-10-04T17:37:34
315966025,391500,1225151,80,75600,192,13,1,1980-01-06T03:20:25,1633358267.3363879,2021-10-04T17:37:47
315966043,391500,1243151,89,75600,149,13,1,1980-01-06T03:20:43,1633358283.626492,2021-10-04T17:38:03
315966055,391500,1255151,97,75600,47,13,1,1980-01-06T03:20:55,1633358298.986548,2021-10-04T17:38:18
315966069,791500,1269551,102,75600,214,13,1,1980-01-06T03:21:09,1633358312.778957,2021-10-04T17:38:32
315966084,191500,1283951,98,75600,125,13,1,1980-01-06T03:21:24,1633358325.9978719,2021-10-04T17:38:45
315966097,391500,1297151,99,75600,33,13,1,1980-01-06T03:21:37,1633358339.776525,2021-10-04T17:38:59
315966111,791500,1311551,102,75600,200,13,1,1980-01-06T03:21:51,1633358352.976125,2021-10-04T17:39:12
315966126,191500,1325951,100,75600,111,13,1,1980-01-06T03:22:06,1633358368.2283158,2021-10-04T17:39:28
315966139,391500,1339151,99,75600,20,13,1,1980-01-06T03:22:19,1633358381.9759889,2021-10-04T17:39:41
315966153,791500,1353551,108,75600,187,13,1,1980-01-06T03:22:33,1633358395.7161279,2021-10-04T17:39:55
315966168,191500,1367951,118,75600,97,13,1,1980-01-06T03:22:48,1633358408.8961,2021-10-04T17:40:08
315966181,391500,1381151,113,75600,251,13,1,1980-01-06T03:23:01,1633358422.036232,2021-10-04T17:40:22
315966195,791600,1395551,112,75600,173,13,1,1980-01-06T03:23:15,1633358437.9665399,2021-10-04T17:40:37
315966209,241700,1408751,118,75600,71,13,1,1980-01-06T03:23:29,1633358451.246372,2021-10-04T17:40:51
315966223,641700,1423151,120,75600,237,13,1,1980-01-06T03:23:43,1633358464.9966009,2021-10-04T17:41:04
315966236,841600,1436351,126,75600,148,13,1,1980-01-06T03:23:56,1633358478.236249,2021-10-04T17:41:18
315966252,441700,1451951,122,75600,70,13,1,1980-01-06T03:24:12,1633358494.266309,2021-10-04T17:41:34
315966265,641700,1465151,133,75600,224,13,1,1980-01-06T03:24:25,1633358507.4557679,2021-10-04T17:41:47
315966278,841600,1478351,137,75600,133,13,1,1980-01-06T03:24:38,1633358521.296296,2021-10-04T17:42:01
315966293,241600,1492751,155,75600,32,13,1,1980-01-06T03:24:53,1633358534.628288,2021-10-04T17:42:14
315966307,641600,1507151,175,75600,185,13,1,1980-01-06T03:25:07,1633358547.895717,2021-10-04T17:42:27
315966319,641600,1519151,171,75600,70,13,1,1980-01-06T03:25:19,1633358561.135804,2021-10-04T17:42:41
315966334,41600,1533551,179,75600,223,13,1,1980-01-06T03:25:34,1633358576.6365318,2021-10-04T17:42:56
315966347,241600,1546751,175,75600,107,13,1,1980-01-06T03:25:47,1633358589.9658089,2021-10-04T17:43:09
315966373,641600,1573151,189,75600,145,13,1,1980-01-06T03:26:13,1633358616.306361,2021-10-04T17:43:36
315966386,841600,1586351,194,75600,31,13,1,1980-01-06T03:26:26,1633358628.9460049,2021-10-04T17:43:48
315966401,500800,1600751,214,75600,182,13,1,1980-01-06T03:26:41,1633358642.7663329,2021-10-04T17:44:02
315966415,900800,1615151,237,75600,79,13,1,1980-01-06T03:26:55,1633358656.006132,2021-10-04T17:44:16
315966429,100800,1628351,253,75600,232,13,1,1980-01-06T03:27:09,1633358671.507153,2021-10-04T17:44:31
315966441,100800,1640351,265,75600,106,13,1,1980-01-06T03:27:21,1633358684.827225,2021-10-04T17:44:44
315966455,500800,1654751,250,75600,1,13,1,1980-01-06T03:27:35,1633358698.126101,2021-10-04T17:44:58
315966469,900800,1669151,254,75600,154,13,1,1980-01-06T03:27:49,1633358710.776036,2021-10-04T17:45:10
315966481,900800,1681151,253,75600,38,13,1,1980-01-06T03:28:01,1633358724.056073,2021-10-04T17:45:24
315966497,500800,1696751,254,75600,201,13,1,1980-01-06T03:28:17,1633358737.9358249,2021-10-04T17:45:37
315966510,881300,1709951,272,75600,88,13,1,1980-01-06T03:28:30,1633358751.166565,2021-10-04T17:45:51
315966524,81400,1723151,300,75600,239,13,1,1980-01-06T03:28:44,1633358766.6766238,2021-10-04T17:46:06
315966538,481400,1737551,335,75600,135,13,1,1980-01-06T03:28:58,1633358781.805137,2021-10-04T17:46:21
315966552,881400,1751951,341,75600,32,13,1,1980-01-06T03:29:12,1633358794.5343158,2021-10-04T17:46:34
315966566,81400,1765151,338,75600,183,13,1,1980-01-06T03:29:26,1633358807.813937,2021-10-04T17:46:47
315966580,481400,1779551,339,75600,80,13,1,1980-01-06T03:29:40,1633358821.672741,2021-10-04T17:47:01
315966594,881400,1793951,321,75600,233,13,1,1980-01-06T03:29:54,1633358834.952004,2021-10-04T17:47:14
315966606,881300,1805951,327,75600,107,13,1,1980-01-06T03:30:06,1633358848.221484,2021-10-04T17:47:28
315966620,81300,1819151,328,75600,2,13,1,1980-01-06T03:30:20,1633358860.8907359,2021-10-04T17:47:40
315966634,481300,1833551,355,75600,155,13,1,1980-01-06T03:30:34,1633358877.109717,2021-10-04T17:47:57
315966647,681300,1846751,383,75600,39,13,1,1980-01-06T03:30:47,1633358889.801256,2021-10-04T17:48:09
315966662,81300,1861151,418,75600,192,13,1,1980-01-06T03:31:02,1633358903.1286569,2021-10-04T17:48:23
315966675,281300,1874351,429,75600,89,13,1,1980-01-06T03:31:15,1633358917.0579438,2021-10-04T17:48:37
315966689,681300,1888751,416,75600,240,13,1,1980-01-06T03:31:29,1633358930.3971848,2021-10-04T17:48:50
315966702,881300,1901951,428,75600,126,13,1,1980-01-06T03:31:42,1633358943.098345,2021-10-04T17:49:03
315966716,81300,1915151,414,75600,11,13,1,1980-01-06T03:31:56,1633358956.3256729,2021-10-04T17:49:16
315966746,81300,1945151,449,75600,81,13,1,1980-01-06T03:32:26,1633358987.094565,2021-10-04T17:49:47
315966759,281300,1958351,486,75600,234,13,1,1980-01-06T03:32:39,1633359001.024361,2021-10-04T17:50:01
315966772,481300,1971551,525,75600,118,13,1,1980-01-06T03:32:52,1633359013.823041,2021-10-04T17:50:13
315966786,881300,1985951,536,75600,15,13,1,1980-01-06T03:33:06,1633359027.2028198,2021-10-04T17:50:27
315966800,212000,1999151,543,75600,156,13,1,1980-01-06T03:33:20,1633359040.512156,2021-10-04T17:50:40
315966813,311900,2012351,501,75600,52,13,1,1980-01-06T03:33:33,1633359053.7012649,2021-10-04T17:50:53
315966826,612300,2025551,460,75600,193,13,1,1980-01-06T03:33:46,1633359069.192505,2021-10-04T17:51:09
315966841,12200,2039951,436,75600,90,13,1,1980-01-06T03:34:01,1633359082.500864,2021-10-04T17:51:22
315966854,212300,2053151,460,75600,241,13,1,1980-01-06T03:34:14,1633359096.40048,2021-10-04T17:51:36
315966867,412300,2066351,496,75600,127,13,1,1980-01-06T03:34:27,1633359111.009505,2021-10-04T17:51:51
315966884,212200,2083151,537,75600,44,13,1,1980-01-06T03:34:44,1633359124.21874,2021-10-04T17:52:04
315966896,212200,2095151,575,75600,185,13,1,1980-01-06T03:34:56,1633359137.498052,2021-10-04T17:52:17
315966913,12200,2111951,579,75600,104,13,1,1980-01-06T03:35:13,1633359152.667724,2021-10-04T17:52:32
315966926,212300,2125151,560,75600,245,13,1,1980-01-06T03:35:26,1633359168.188372,2021-10-04T17:52:48
315966939,412300,2138351,525,75600,142,13,1,1980-01-06T03:35:39,1633359181.5269089,2021-10-04T17:53:01
315966953,812200,2152751,527,75600,36,13,1,1980-01-06T03:35:53,1633359195.36678,2021-10-04T17:53:15
315966967,12200,2165951,488,75600,179,13,1,1980-01-06T03:36:07,1633359208.016193,2021-10-04T17:53:28
315966980,212200,2179151,533,75600,74,13,1,1980-01-06T03:36:20,1633359221.285416,2021-10-04T17:53:41
315966993,412200,2192351,590,75600,216,13,1,1980-01-06T03:36:33,1633359234.555476,2021-10-04T17:53:54
315967008,28000,2206751,636,75600,111,13,1,1980-01-06T03:36:48,1633359247.804484,2021-10-04T17:54:07
315967020,28000,2218751,675,75600,242,13,1,1980-01-06T03:37:00,1633359263.3146648,2021-10-04T17:54:23
315967034,428000,2233151,687,75600,149,13,1,1980-01-06T03:37:14,1633359276.603965,2021-10-04T17:54:36
315967048,828000,2247551,685,75600,45,13,1,1980-01-06T03:37:28,1633359289.89484,2021-10-04T17:54:49
315967062,28000,2260751,647,75600,186,13,1,1980-01-06T03:37:42,1633359303.182788,2021-10-04T17:55:03
315967076,428000,2275151,584,75600,83,13,1,1980-01-06T03:37:56,1633359316.4026968,2021-10-04T17:55:16
315967088,428000,2287151,559,75600,213,13,1,1980-01-06T03:38:08,1633359329.692404,2021-10-04T17:55:29
315967101,743700,2300351,617,75600,110,13,1,1980-01-06T03:38:21,1633359342.401808,2021-10-04T17:55:42
315967116,143700,2314751,667,75600,5,13,1,1980-01-06T03:38:36,1633359355.6216278,2021-10-04T17:55:55
315967130,543700,2329151,694,75600,158,13,1,1980-01-06T03:38:50,1633359371.7010078,2021-10-04T17:56:11
315967143,743800,2342351,721,75600,54,13,1,1980-01-06T03:39:03,1633359384.90064,2021-10-04T17:56:24
315967156,943800,2355551,723,75600,195,13,1,1980-01-06T03:39:16,1633359398.2303278,2021-10-04T17:56:38
315967170,143700,2368751,714,75600,80,13,1,1980-01-06T03:39:30,1633359411.5202608,2021-10-04T17:56:51
315967184,543700,2383151,638,75600,232,13,1,1980-01-06T03:39:44,1633359424.770864,2021-10-04T17:57:04
315967196,543700,2395151,627,75600,117,13,1,1980-01-06T03:39:56,1633359437.5293329,2021-10-04T17:57:17
315967212,270800,2410751,604,75600,24,13,1,1980-01-06T03:40:12,1633359453.629557,2021-10-04T17:57:33
315967225,470800,2423951,632,75600,167,13,1,1980-01-06T03:40:25,1633359466.9589639,2021-10-04T17:57:46
315967238,670800,2437151,712,75600,51,13,1,1980-01-06T03:40:38,1633359480.288657,2021-10-04T17:58:00
315967265,70800,2463551,803,75600,89,13,1,1980-01-06T03:41:05,1633359506.188413,2021-10-04T17:58:26
315967279,470800,2477951,830,75600,241,13,1,1980-01-06T03:41:19,1633359519.4475448,2021-10-04T17:58:39
315967292,670800,2491151,794,75600,126,13,1,1980-01-06T03:41:32,1633359532.6872919,2021-10-04T17:58:52
315967307,70800,2505551,788,75600,33,13,1,1980-01-06T03:41:47,1633359548.8192809,2021-10-04T17:59:08
315967320,270800,2518751,742,75600,174,13,1,1980-01-06T03:42:00,1633359562.107985,2021-10-04T17:59:22
315967333,470800,2531951,725,75600,60,13,1,1980-01-06T03:42:13,1633359574.849129,2021-10-04T17:59:34
315967346,670800,2545151,687,75600,211,13,1,1980-01-06T03:42:26,1633359588.096793,2021-10-04T17:59:48
315967361,70800,2559551,670,75600,108,13,1,1980-01-06T03:42:41,1633359601.41586,2021-10-04T18:00:01
315967373,70800,2571551,710,75600,238,13,1,1980-01-06T03:42:53,1633359614.635752,2021-10-04T18:00:14
315967388,670800,2587151,799,75600,145,13,1,1980-01-06T03:43:08,1633359627.915556,2021-10-04T18:00:27
315967400,911100,2599151,832,75600,30,13,1,1980-01-06T03:43:20,1633359641.165848,2021-10-04T18:00:41
315967415,311100,2613551,883,75600,183,13,1,1980-01-06T03:43:35,1633359656.605221,2021-10-04T18:00:56
315967428,511200,2626751,902,75600,67,13,1,1980-01-06T03:43:48,1633359669.824512,2021-10-04T18:01:09
315967442,911200,2641151,887,75600,220,13,1,1980-01-06T03:44:02,1633359683.064208,2021-10-04T18:01:23
315967454,911100,2653151,830,75600,105,13,1,1980-01-06T03:44:14,1633359696.384512,2021-10-04T18:01:36
315967468,111100,2666351,763,75600,247,13,1,1980-01-06T03:44:28,1633359709.065661,2021-10-04T18:01:49
315967483,711100,2681951,695,75600,154,13,1,1980-01-06T03:44:43,1633359722.923833,2021-10-04T18:02:02
315967495,711100,2693951,665,75600,29,13,1,1980-01-06T03:44:55,1633359736.144441,2021-10-04T18:02:16
315967509,28600,2707151,668,75600,179,13,1,1980-01-06T03:45:09,1633359751.553529,2021-10-04T18:02:31
315967522,228600,2720351,729,75600,66,13,1,1980-01-06T03:45:22,1633359764.3238769,2021-10-04T18:02:44
315967536,628600,2734751,782,75600,217,13,1,1980-01-06T03:45:36,1633359777.625625,2021-10-04T18:02:57
315967551,28600,2749151,820,75600,114,13,1,1980-01-06T03:45:51,1633359790.952201,2021-10-04T18:03:10
315967563,28600,2761151,874,75600,254,13,1,1980-01-06T03:46:03,1633359804.74202,2021-10-04T18:03:24
315967577,428600,2775551,926,75600,151,13,1,1980-01-06T03:46:17,1633359818.0021758,2021-10-04T18:03:38
315967590,628600,2788751,891,75600,36,13,1,1980-01-06T03:46:30,1633359830.691696,2021-10-04T18:03:50
315967605,28600,2803151,829,75600,188,13,1,1980-01-06T03:46:45,1633359846.701856,2021-10-04T18:04:06
315967618,228600,2816351,791,75600,85,13,1,1980-01-06T03:46:58,1633359859.351661,2021-10-04T18:04:19
315967631,428600,2829551,766,75600,226,13,1,1980-01-06T03:47:11,1633359872.582777,2021-10-04T18:04:32
315967645,828600,2843951,722,75600,123,13,1,1980-01-06T03:47:25,1633359885.771328,2021-10-04T18:04:45
315967659,28600,2857151,683,75600,7,13,1,1980-01-06T03:47:39,1633359899.630393,2021-10-04T18:04:59
315967672,228600,2870351,708,75600,160,13,1,1980-01-06T03:47:52,1633359912.300597,2021-10-04T18:05:12
315967685,428700,2883551,745,75600,45,13,1,1980-01-06T03:48:05,1633359925.519973,2021-10-04T18:05:25
315967699,828700,2897951,771,75600,197,13,1,1980-01-06T03:48:19,1633359938.751296,2021-10-04T18:05:38
315967713,28600,2911151,849,75600,82,13,1,1980-01-06T03:48:33,1633359954.210937,2021-10-04T18:05:54
315967726,228600,2924351,907,75600,235,13,1,1980-01-06T03:48:46,1633359967.55982,2021-10-04T18:06:07
315967740,628600,2938751,934,75600,130,13,1,1980-01-06T03:49:00,1633359981.4191039,2021-10-04T18:06:21
315967753,828600,2951951,927,75600,16,13,1,1980-01-06T03:49:13,1633359994.1289759,2021-10-04T18:06:34
315967767,28600,2965151,899,75600,167,13,1,1980-01-06T03:49:27,1633360007.469161,2021-10-04T18:06:47
315967780,228600,2978351,907,75600,54,13,1,1980-01-06T03:49:40,1633360020.7491,2021-10-04T18:07:00
315967794,628600,2992751,890,75600,204,13,1,1980-01-06T03:49:54,1633360034.048717,2021-10-04T18:07:14
315967809,295000,3007151,893,75600,101,13,1,1980-01-06T03:50:09,1633360049.489004,2021-10-04T18:07:29
315967821,295000,3019151,852,75600,232,13,1,1980-01-06T03:50:21,1633360062.728452,2021-10-04T18:07:42
315967835,695000,3033551,862,75600,139,13,1,1980-01-06T03:50:35,1633360075.957705,2021-10-04T18:07:55
315967848,895000,3046751,853,75600,23,13,1,1980-01-06T03:50:48,1633360089.2681088,2021-10-04T18:08:09
315967863,295000,3061151,830,75600,176,13,1,1980-01-06T03:51:03,1633360102.5078208,2021-10-04T18:08:22
315967875,295000,3073151,845,75600,61,13,1,1980-01-06T03:51:15,1633360115.8074,2021-10-04T18:08:35
315967888,495000,3086351,847,75600,203,13,1,1980-01-06T03:51:28,1633360128.391393,2021-10-04T18:08:48
315967902,895000,3100751,879,75600,98,13,1,1980-01-06T03:51:42,1633360141.6967878,2021-10-04T18:09:01
315967917,295000,3115151,894,75600,251,13,1,1980-01-06T03:51:57,1633360157.756692,2021-10-04T18:09:17
315967930,495100,3128351,888,75600,148,13,1,1980-01-06T03:52:10,1633360171.039204,2021-10-04T18:09:31
315967942,495000,3140351,865,75600,22,13,1,1980-01-06T03:52:22,1633360183.626236,2021-10-04T18:09:43
315967956,895100,3154751,822,75600,173,13,1,1980-01-06T03:52:36,1633360196.847013,2021-10-04T18:09:56
315967970,95000,3167951,823,75600,59,13,1,1980-01-06T03:52:50,1633360210.067864,2021-10-04T18:10:10
315967983,295000,3181151,809,75600,210,13,1,1980-01-06T03:53:03,1633360223.346248,2021-10-04T18:10:23
315967997,695000,3195551,799,75600,107,13,1,1980-01-06T03:53:17,1633360236.565629,2021-10-04T18:10:36
315968011,8600,3208751,811,75600,248,13,1,1980-01-06T03:53:31,1633360252.5155928,2021-10-04T18:10:52
315968025,408600,3223151,799,75600,144,13,1,1980-01-06T03:53:45,1633360265.2059,2021-10-04T18:11:05
315968037,408600,3235151,812,75600,29,13,1,1980-01-06T03:53:57,1633360278.4851,2021-10-04T18:11:18
315968051,808600,3249551,846,75600,182,13,1,1980-01-06T03:54:11,1633360291.764829,2021-10-04T18:11:31
315968065,8600,3262751,859,75600,66,13,1,1980-01-06T03:54:25,1633360305.144908,2021-10-04T18:11:45
315968078,208600,3275951,898,75600,209,13,1,1980-01-06T03:54:38,1633360318.3344529,2021-10-04T18:11:58
315968091,408600,3289151,851,75600,104,13,1,1980-01-06T03:54:51,1633360331.614248,2021-10-04T18:12:11
315968105,938500,3303551,844,75600,1,13,1,1980-01-06T03:55:05,1633360347.1050649,2021-10-04T18:12:27
315968120,338500,3317951,831,75600,153,13,1,1980-01-06T03:55:20,1633360360.4238648,2021-10-04T18:12:40
315968133,538500,3331151,832,75600,48,13,1,1980-01-06T03:55:33,1633360373.6748729,2021-10-04T18:12:53
315968145,538500,3343151,852,75600,179,13,1,1980-01-06T03:55:45,1633360386.884629,2021-10-04T18:13:06
315968161,138500,3358751,898,75600,86,13,1,1980-01-06T03:56:01,1633360402.103569,2021-10-04T18:13:22
315968175,538600,3373151,915,75600,249,13,1,1980-01-06T03:56:15,1633360415.334048,2021-10-04T18:13:35
315968189,938600,3387551,950,75600,145,13,1,1980-01-06T03:56:29,1633360428.58322,2021-10-04T18:13:48
315968203,138500,3400751,933,75600,30,13,1,1980-01-06T03:56:43,1633360443.933861,2021-10-04T18:14:03
315968217,538500,3415151,904,75600,183,13,1,1980-01-06T03:56:57,1633360457.2028089,2021-10-04T18:14:17
315968229,538500,3427151,877,75600,57,13,1,1980-01-06T03:57:09,1633360469.822548,2021-10-04T18:14:29
315968242,738500,3440351,914,75600,210,13,1,1980-01-06T03:57:22,1633360483.0924969,2021-10-04T18:14:43
315968257,138500,3454751,902,75600,105,13,1,1980-01-06T03:57:37,1633360496.313876,2021-10-04T18:14:56
315968269,138500,3466751,878,75600,235,13,1,1980-01-06T03:57:49,1633360509.4722009,2021-10-04T18:15:09
315968283,538500,3481151,880,75600,132,13,1,1980-01-06T03:58:03,1633360522.712625,2021-10-04T18:15:22
315968296,738500,3494351,914,75600,29,13,1,1980-01-06T03:58:16,1633360535.9817438,2021-10-04T18:15:35
315968311,357800,3508751,914,75600,180,13,1,1980-01-06T03:58:31,1633360551.3841999,2021-10-04T18:15:51
315968324,557800,3521951,909,75600,66,13,1,1980-01-06T03:58:44,1633360564.6417449,2021-10-04T18:16:04
315968337,757800,3535151,967,75600,217,13,1,1980-01-06T03:58:57,1633360577.851989,2021-10-04T18:16:17
315968349,757900,3547151,975,75600,91,13,1,1980-01-06T03:59:09,1633360591.081668,2021-10-04T18:16:31
315968365,357800,3562751,961,75600,254,13,1,1980-01-06T03:59:25,1633360604.331285,2021-10-04T18:16:44
315968378,557800,3575951,940,75600,141,13,1,1980-01-06T03:59:38,1633360617.603477,2021-10-04T18:16:57
315968391,757900,3589151,912,75600,36,13,1,1980-01-06T03:59:51,1633360630.870632,2021-10-04T18:17:10
315968406,334900,3603551,910,75600,189,13,1,1980-01-06T04:00:06,1633360646.331305,2021-10-04T18:17:26
315968418,334800,3615551,919,75600,63,13,1,1980-01-06T04:00:18,1633360659.5902328,2021-10-04T18:17:39
315968432,734800,3629951,916,75600,216,13,1,1980-01-06T04:00:32,1633360672.7700489,2021-10-04T18:17:52
315968445,934800,3643151,886,75600,100,13,1,1980-01-06T04:00:45,1633360685.340065,2021-10-04T18:18:05
315968460,334800,3657551,893,75600,7,13,1,1980-01-06T04:01:00,1633360699.180229,2021-10-04T18:18:19
315968473,534800,3670751,865,75600,148,13,1,1980-01-06T04:01:13,1633360712.449584,2021-10-04T18:18:32
